,;gram;pu;P;1
entre;gram;prp;VCCCV;48
sobre;gram;prp;CVCCV;54
ontem;adv;;VCCVC;58
ainda;adv;;VVCCV;68
muito;adv;;CVVCV;95
todos;gram;det;CVCVC;102
maior;adj;;CVVVC;103
tempo;nom;;CVCCV;104
fazer;ver;;CVCVC;111
parte;nom;;CVCCV;116
mesmo;gram;det;CVCCV;122
agora;adv;;VCVCV;127
outro;gram;det;VVCCV;129
desde;gram;prp;CVCCV;131
assim;adv;;VCCVC;136
antes;adv;;VCCVC;137
pelos;gram;prp+det;CVCVC;149
mesmo;adv;;CVCCV;150
mundo;nom;;CVCCV;151
cerca;adv;;CVCCV;159
grupo;nom;;CCVCV;168
forma;nom;;CVCCV;178
menos;gram;det;CVCVC;182
outra;gram;det;VVCCV;191
cinco;num;;CVCCV;193
meses;nom;;CVCVC;194
final;nom;;CVCVC;195
quase;adv;;CVVCV;222
lugar;nom;;CVCVC;226
vezes;nom;;CVCVC;227
plano;nom;;CCVCV;228
todas;gram;det;CVCVC;231
valor;nom;;CVCVC;239
prazo;nom;;CCVCV;242
preço;nom;;CCVCV;246
noite;nom;;CVVCV;249
então;adv;;VCCVV;255
mesma;gram;det;CVCCV;258
deste;gram;prp+det;CVCCV;259
filme;nom;;CVCCV;262
minha;gram;det;CVCCV;265
livro;nom;;CVCCV;267
setor;nom;;CVCVC;282
pelas;gram;prp+det;CVCVC;287
ponto;nom;;CVCCV;291
coisa;nom;;CVVCV;301
homem;nom;;CVCVC;311
julho;nom;;CVCCV;314
nunca;adv;;CVCCV;317
carro;nom;;CVCCV;323
pouco;gram;det;CVVCV;326
dizer;ver;;CVCVC;329
falta;nom;;CVCCV;332
poder;nom;;CVCVC;333
idéia;nom;;VCVVV;337
média;nom;;CVCVV;340
muito;gram;det;CVVCV;344
morte;nom;;CVCCV;346
juros;nom;;CVCVC;348
apoio;nom;;VCVVV;354
porém;adv;;CVCVC;355
horas;nom;;CVCVC;356
causa;nom;;CVVCV;359
venda;nom;;CVCCV;360
queda;nom;;CVVCV;366
ficar;ver;;CVCVC;374
novos;adj;;CVCVC;375
junho;nom;;CVCCV;381
volta;nom;;CVCCV;387
menos;adv;;CVCVC;393
gente;nom;;CVCCV;396
disso;gram;prp+spec;CVCCV;399
casos;nom;;CVCVC;410
conta;nom;;CVCCV;413
campo;nom;;CVCCV;417
atual;adj;;VCVVC;421
único;adj;;VCVCV;435
março;nom;;CVCCV;436
saúde;nom;;CVVCV;437
texto;nom;;CVCCV;445
época;nom;;VCVCV;451
obras;nom;;VCCVC;459
abril;nom;;VCCVC;460
papel;nom;;CVCVC;461
local;nom;;CVCVC;469
dólar;nom;;CVCVC;474
saber;ver;;CVCVC;478
ações;nom;;VCVVC;480
desse;gram;prp+det;CVCCV;492
linha;nom;;CVCCV;495
nossa;gram;det;CVCCV;500
moeda;nom;;CVVCV;505
junto;adv;;CVCCV;507
quais;gram;det;CVVVC;511
nosso;gram;det;CVCCV;512
jogos;nom;;CVCVC;513
autor;nom;;VVCVC;514
banco;nom;;CVCCV;515
dados;nom;;CVCVC;516
menor;adj;;CVCVC;520
deles;gram;prp+pers;CVCVC;524
série;nom;;CVCVV;528
líder;nom;;CVCVC;544
crime;nom;;CCVCV;564
corpo;nom;;CVCCV;566
manhã;nom;;CVCCV;574
novas;adj;;CVCVC;576
tarde;nom;;CVCCV;585
filho;nom;;CVCCV;587
certo;adj;;CVCCV;593
algum;gram;det;VCCVC;595
força;nom;;CVCCV;600
nível;nom;;CVCVC;601
falar;ver;;CVCVC;604
renda;nom;;CVCCV;607
tanto;adv;;CVCCV;608
forte;adj;;CVCCV;609
votos;nom;;CVCVC;614
terra;nom;;CVCCV;619
prova;nom;;CCVCV;625
turno;nom;;CVCCV;632
acima;adv;;VCVCV;634
ordem;nom;;VCCVC;640
única;adj;;VCVCV;643
crise;nom;;CCVCV;646
risco;nom;;CVCCV;653
muita;gram;det;CVVCV;655
lojas;nom;;CVCVC;657
custo;nom;;CVCCV;671
pagar;ver;;CVCVC;672
jogar;ver;;CVCVC;684
longo;adj;;CVCCV;689
lista;nom;;CVCCV;712
atrás;adv;;VCCVC;719
pouco;adv;;CVVCV;722
final;adj;;CVCVC;725
festa;nom;;CVCCV;729
cargo;nom;;CVCCV;732
razão;nom;;CVCVV;734
levar;ver;;CVCVC;742
torno;nom;;CVCCV;743
comum;adj;;CVCVC;745
áreas;nom;;VCVVC;755
total;nom;;CVCVC;760
fundo;nom;;CVCCV;761
clube;nom;;CCVCV;767
total;adj;;CVCVC;773
nomes;nom;;CVCVC;775
folha;nom;;CVCCV;780
disco;nom;;CVCCV;781
curso;nom;;CVCCV;793
saída;nom;;CVVCV;797
criar;ver;;CCVVC;798
greve;nom;;CCVCV;806
reais;adj;;CVVVC;823
livre;adj;;CVCCV;830
taxas;nom;;CVCVC;832
olhos;nom;;VCCVC;836
chefe;nom;;CCVCV;846
oeste;nom;;VVCCV;867
marca;nom;;CVCCV;868
